Ref,Val,Package,MidX,MidY,Rotation,Layer
"D12","LED","LED_0805_2012Metric",206.220347,-57.782560,50.000000,top
"D12","LED","LED_0805_2012Metric",102.159143,-57.782560,50.000000,top
"D12","LED","LED_0805_2012Metric",102.159143,-128.297861,50.000000,top
"D12","LED","LED_0805_2012Metric",50.128541,-128.297861,50.000000,top
"D12","LED","LED_0805_2012Metric",154.189745,-128.297861,50.000000,top
"D12","LED","LED_0805_2012Metric",50.128541,-198.813162,50.000000,top
"D12","LED","LED_0805_2012Metric",154.189745,-57.782560,50.000000,top
"D12","LED","LED_0805_2012Metric",154.189745,-198.813162,50.000000,top
"D12","LED","LED_0805_2012Metric",206.220347,-198.813162,50.000000,top
"D12","LED","LED_0805_2012Metric",102.159143,-198.813162,50.000000,top
"D13","LED","LED_0805_2012Metric",154.189745,-28.214330,130.000000,top
"D13","LED","LED_0805_2012Metric",102.159143,-28.214330,130.000000,top
"D13","LED","LED_0805_2012Metric",50.128541,-98.729631,130.000000,top
"D13","LED","LED_0805_2012Metric",102.159143,-98.729631,130.000000,top
"D13","LED","LED_0805_2012Metric",206.220347,-98.729631,130.000000,top
"D13","LED","LED_0805_2012Metric",206.220347,-28.214330,130.000000,top
"D13","LED","LED_0805_2012Metric",50.128541,-169.244932,130.000000,top
"D13","LED","LED_0805_2012Metric",102.159143,-169.244932,130.000000,top
"D13","LED","LED_0805_2012Metric",50.128541,-28.214330,130.000000,top
"D13","LED","LED_0805_2012Metric",154.189745,-169.244932,130.000000,top
"D13","LED","LED_0805_2012Metric",206.220347,-169.244932,130.000000,top
"D13","LED","LED_0805_2012Metric",154.189745,-98.729631,130.000000,top
"D14","LED","LED_0805_2012Metric",184.607417,-20.347867,-170.000000,top
"D14","LED","LED_0805_2012Metric",80.546213,-90.863168,-170.000000,top
"D14","LED","LED_0805_2012Metric",132.576815,-20.347867,-170.000000,top
"D14","LED","LED_0805_2012Metric",80.546213,-20.347867,-170.000000,top
"D14","LED","LED_0805_2012Metric",28.515611,-20.347867,-170.000000,top
"D14","LED","LED_0805_2012Metric",28.515611,-161.378469,-170.000000,top
"D14","LED","LED_0805_2012Metric",184.607417,-161.378469,-170.000000,top
"D14","LED","LED_0805_2012Metric",132.576815,-90.863168,-170.000000,top
"D14","LED","LED_0805_2012Metric",184.607417,-90.863168,-170.000000,top
"D14","LED","LED_0805_2012Metric",132.576815,-161.378469,-170.000000,top
"D14","LED","LED_0805_2012Metric",80.546213,-161.378469,-170.000000,top
"D14","LED","LED_0805_2012Metric",28.515611,-90.863168,-170.000000,top
"D15","LED","LED_0805_2012Metric",62.927191,-35.131982,-110.000000,top
"D15","LED","LED_0805_2012Metric",114.957793,-105.647283,-110.000000,top
"D15","LED","LED_0805_2012Metric",166.988395,-176.162584,-110.000000,top
"D15","LED","LED_0805_2012Metric",62.927191,-105.647283,-110.000000,top
"D15","LED","LED_0805_2012Metric",10.896589,-176.162584,-110.000000,top
"D15","LED","LED_0805_2012Metric",114.957793,-176.162584,-110.000000,top
"D15","LED","LED_0805_2012Metric",10.896589,-35.131982,-110.000000,top
"D15","LED","LED_0805_2012Metric",62.927191,-176.162584,-110.000000,top
"D15","LED","LED_0805_2012Metric",166.988395,-105.647283,-110.000000,top
"D15","LED","LED_0805_2012Metric",114.957793,-35.131982,-110.000000,top
"D15","LED","LED_0805_2012Metric",10.896589,-105.647283,-110.000000,top
"D15","LED","LED_0805_2012Metric",166.988395,-35.131982,-110.000000,top
"D16","LED","LED_0805_2012Metric",66.921099,-128.297861,-50.000000,top
"D16","LED","LED_0805_2012Metric",14.890497,-128.297861,-50.000000,top
"D16","LED","LED_0805_2012Metric",118.951701,-57.782560,-50.000000,top
"D16","LED","LED_0805_2012Metric",118.951701,-198.813162,-50.000000,top
"D16","LED","LED_0805_2012Metric",14.890497,-57.782560,-50.000000,top
"D16","LED","LED_0805_2012Metric",66.921099,-198.813162,-50.000000,top
"D16","LED","LED_0805_2012Metric",170.982303,-128.297861,-50.000000,top
"D16","LED","LED_0805_2012Metric",170.982303,-57.782560,-50.000000,top
"D16","LED","LED_0805_2012Metric",118.951701,-128.297861,-50.000000,top
"D16","LED","LED_0805_2012Metric",14.890497,-198.813162,-50.000000,top
"D16","LED","LED_0805_2012Metric",66.921099,-57.782560,-50.000000,top
"D16","LED","LED_0805_2012Metric",170.982303,-198.813162,-50.000000,top
